position,uses_last_market_value,model_spec,algorithm,feature_rank,feature,importance
D,False,model_2_full_performance_age_exposure,lightgbm,1,numeric__log_minutes,410.0
D,False,model_2_full_performance_age_exposure,lightgbm,2,numeric__player_age,346.0
D,False,model_2_full_performance_age_exposure,lightgbm,3,numeric__understat_xg_buildup_per90,285.0
D,False,model_2_full_performance_age_exposure,lightgbm,4,numeric__api_avg_rating,281.0
D,False,model_2_full_performance_age_exposure,lightgbm,5,numeric__duel_win_rate,202.0
D,False,model_2_full_performance_age_exposure,lightgbm,6,numeric__understat_xg_chain_per90,175.0
D,False,model_2_full_performance_age_exposure,lightgbm,7,numeric__start_rate,156.0
D,False,model_2_full_performance_age_exposure,lightgbm,8,numeric__xg_xa_per90,133.0
D,False,model_2_full_performance_age_exposure,lightgbm,9,numeric__dribble_success_rate,116.0
D,False,model_2_full_performance_age_exposure,lightgbm,10,numeric__goals_assists_per90,102.0
D,True,model_1_simplified_performance,lightgbm,1,numeric__last_market_value_log,562.0
D,True,model_1_simplified_performance,lightgbm,2,numeric__player_age,536.0
D,True,model_1_simplified_performance,lightgbm,3,numeric__log_minutes,442.0
D,True,model_1_simplified_performance,lightgbm,4,numeric__api_avg_rating,341.0
D,True,model_1_simplified_performance,lightgbm,5,numeric__xg_xa_per90,218.0
D,True,model_1_simplified_performance,lightgbm,6,numeric__goals_assists_per90,143.0
D,True,model_1_simplified_performance,lightgbm,7,numeric__start_rate,143.0
D,True,model_1_simplified_performance,lightgbm,8,numeric__minutes_share_3420,99.0
D,True,model_1_simplified_performance,lightgbm,9,numeric__player_age_sq,59.0
D,True,model_1_simplified_performance,lightgbm,10,categorical__transfermarkt_match_level_player_match,44.0
F,False,model_3_position_percentiles,lightgbm,1,numeric__age_peak_gap,350.0
F,False,model_3_position_percentiles,lightgbm,2,numeric__api_minutes_pos_season_pct,294.0
F,False,model_3_position_percentiles,lightgbm,3,numeric__api_tackles_total_per90_pos_season_pct,263.0
F,False,model_3_position_percentiles,lightgbm,4,numeric__api_avg_rating_pos_season_pct,219.0
F,False,model_3_position_percentiles,lightgbm,5,numeric__api_duels_won_per90_pos_season_pct,184.0
F,False,model_3_position_percentiles,lightgbm,6,numeric__understat_xg_buildup_per90_pos_season_pct,150.0
F,False,model_3_position_percentiles,lightgbm,7,numeric__duel_win_rate_pos_season_pct,145.0
F,False,model_3_position_percentiles,lightgbm,8,numeric__understat_xg_chain_per90_pos_season_pct,142.0
F,False,model_3_position_percentiles,lightgbm,9,numeric__goals_assists_per90_pos_season_pct,140.0
F,False,model_3_position_percentiles,lightgbm,10,numeric__api_passes_key_per90_pos_season_pct,117.0
F,True,model_2_full_performance_age_exposure,lightgbm,1,numeric__last_market_value_log,449.0
F,True,model_2_full_performance_age_exposure,lightgbm,2,numeric__player_age,412.0
F,True,model_2_full_performance_age_exposure,lightgbm,3,numeric__log_minutes,299.0
F,True,model_2_full_performance_age_exposure,lightgbm,4,numeric__api_avg_rating,230.0
F,True,model_2_full_performance_age_exposure,lightgbm,5,numeric__start_rate,147.0
