position,model_spec,algorithm,uses_last_market_value,selected_for_position_setup,selected_hyperparameters,validation_mae,validation_rmse,validation_rmsle,validation_r2,test_mae,test_rmse,test_rmsle,test_r2
D,model_2_full_performance_age_exposure,lightgbm,False,True,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 15}",4888533.087142816,8836904.212012943,0.8110847167605661,0.5322937063370508,5468446.539175176,9377890.836453618,0.8915718983036908,0.4981555006354207
D,model_3_position_percentiles,lightgbm,False,False,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 60, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 15}",4940894.6092235735,9021970.379426269,0.8022276180886789,0.5124987732616577,5589933.112159936,9890343.781868389,0.899923826939665,0.4418105838616293
D,model_2_full_performance_age_exposure,ridge,False,False,"{""regressor__alpha"": 10.0}",5609327.190276099,10332728.684290754,0.9079555231043968,0.36055533130138895,5833297.956583692,10518764.922233459,0.947795024712677,0.3686236340534298
D,model_3_position_percentiles,ridge,False,False,"{""regressor__alpha"": 0.1}",5587681.459103958,10418684.59022124,0.9048543780144325,0.34987225523588317,5947272.081439574,10818804.360127036,0.9361894552154232,0.33209090552504994
D,model_1_simplified_performance,lightgbm,False,False,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 7}",5715474.524889462,10472590.333035562,0.8770483343245146,0.34312739587781094,5965518.82795592,10601119.315466195,0.967082723664858,0.3586984829475365
D,model_1_simplified_performance,ridge,False,False,"{""regressor__alpha"": 10.0}",6077226.285213718,11454456.747209003,0.9453762907571472,0.21418210893960377,6365842.032345976,11637562.008581016,0.9824315349449714,0.22717201793441455
D,model_1_simplified_performance,lightgbm,True,True,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 60, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 15}",2703486.851202531,4966193.688686268,0.47761870102518217,0.8522864871675777,2634960.370688024,4679819.4904856235,0.5025941585886147,0.8750267609714146
D,model_3_position_percentiles,lightgbm,True,False,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 15}",2620759.5520498264,4912529.51793399,0.44843222439011704,0.8554615926576079,2656158.5283497684,4765558.815009191,0.5016325821017837,0.8704055240244779
D,model_2_full_performance_age_exposure,lightgbm,True,False,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 15}",2659805.592347268,4974277.862836102,0.45618446611545393,0.8518051874948495,2682315.871595868,4754126.577902336,0.503855274272882,0.8710265541123204
D,model_2_full_performance_age_exposure,ridge,True,False,"{""regressor__alpha"": 1.0}",3019061.090097712,5552352.182196247,0.5406499711993169,0.8153595160562171,2896614.495746895,5273099.532321398,0.5427259073061506,0.8413314839163946
D,model_3_position_percentiles,ridge,True,False,"{""regressor__alpha"": 0.1}",3066413.0402026097,5654792.62664673,0.5348937276888965,0.8084834608218372,2952874.020394554,5296214.25768732,0.5364492281087476,0.8399373825533714
D,model_1_simplified_performance,ridge,True,False,"{""regressor__alpha"": 0.1}",3114554.6755776135,5704748.934268463,0.5479204742195947,0.8050846729868353,2963168.9208661523,5366326.905497381,0.5485223868503745,0.8356714310728318
F,model_3_position_percentiles,lightgbm,False,True,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 60, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 15}",6176595.237830839,12902317.94718982,0.8095060512231891,0.6443536168865045,7439342.988336018,14960753.922168655,0.8599285759179902,0.5748584368424088
F,model_2_full_performance_age_exposure,lightgbm,False,False,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 15}",5983091.612685872,12288963.369684806,0.81173239492161,0.6773635607073034,7619304.561680235,15144391.488038817,0.869357485325018,0.5643574802676126
F,model_1_simplified_performance,lightgbm,False,False,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 60, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 15}",6782119.459351465,13704318.196958432,0.8308487973491503,0.5987659474290477,7630899.39523406,15217286.641692456,0.8784838701531704,0.5601535932706342
F,model_3_position_percentiles,ridge,False,False,"{""regressor__alpha"": 0.1}",7100304.679793914,16045005.890302256,0.8653356506039301,0.4500000141096018,8218256.733862513,18095272.320443474,0.9168687129068256,0.3780480233909732
F,model_1_simplified_performance,ridge,False,False,"{""regressor__alpha"": 10.0}",7529137.7433114415,16022454.510252912,0.8911478458109795,0.45154498609098936,8591418.54597597,17868910.82041386,0.9321752307012773,0.3935112232658631
F,model_2_full_performance_age_exposure,ridge,False,False,"{""regressor__alpha"": 100.0}",7461025.244853881,15865367.154989157,0.9000352593678184,0.46224659306556903,8635158.776848152,17985512.404873025,0.9429984669616994,0.3855702488229471
F,model_2_full_performance_age_exposure,lightgbm,True,True,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 15}",3197122.212731027,6762292.621921092,0.45706614735248974,0.9023053376152266,3476920.677854914,7647399.579240595,0.4859484233003411,0.888915319205993
F,model_1_simplified_performance,lightgbm,True,False,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 15}",3167434.20103731,6804808.169236212,0.4663267601461917,0.9010730339440599,3571021.504120284,7530508.296078792,0.487233176735893,0.8922852473786824
F,model_3_position_percentiles,lightgbm,True,False,"{""regressor__learning_rate"": 0.03, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 15}",3241562.8049418544,7008365.848910048,0.4590553065291467,0.8950659473640656,3669760.7883200697,7814014.908776339,0.49469055037206006,0.8840221437909213
F,model_3_position_percentiles,ridge,True,False,"{""regressor__alpha"": 0.1}",3451646.4520744085,6976844.7476453865,0.5292519260067039,0.8960077357043543,3738192.138156552,7552346.604797179,0.5479509782009998,0.8916596006761078
F,model_2_full_performance_age_exposure,ridge,True,False,"{""regressor__alpha"": 10.0}",3586841.0155094224,7516501.4130034465,0.5420332690260911,0.8792980174538502,3794510.0806314894,7740116.983657931,0.5571631518440346,0.8862053996163339
F,model_1_simplified_performance,ridge,True,False,"{""regressor__alpha"": 10.0}",3678834.5506213806,7614371.769075284,0.5438567396963309,0.876134297189437,3860818.027921764,7924066.505208303,0.558988670345846,0.8807323040670241
G,model_2_full_performance_age_exposure,lightgbm,False,True,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 7}",3766858.5108345277,6638300.768348618,0.8597481103406339,0.5071206889133248,3721254.8837417164,5956008.833388582,0.8620500795545726,0.5575795318865192
G,model_1_simplified_performance,lightgbm,False,False,"{""regressor__learning_rate"": 0.03, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 100, ""regressor__num_leaves"": 15}",4399591.1765215425,7847647.9600879755,0.9505717676368569,0.31117997690815036,4276612.761664017,7175341.010603935,0.9417854635931825,0.3578897001107708
G,model_3_position_percentiles,lightgbm,False,False,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 60, ""regressor__n_estimators"": 100, ""regressor__num_leaves"": 7}",4032971.5595100312,7250270.861492796,0.8769694241367658,0.4120570314043659,4285677.749492606,7353226.10630968,0.9405851622190956,0.3256577271268861
G,model_3_position_percentiles,ridge,False,False,"{""regressor__alpha"": 0.1}",4367016.598957037,8179167.76497502,0.9296906166177216,0.25175302445062797,4316737.753113187,7407874.614461201,0.9786240697726966,0.31559718002211934
