dataset,column,null_pct,n_unique,top_values
historical_2015_2024,player_name,0.0,6413,Danilo (23); Adama Traoré (16); Marcelo (14); Felipe (14); Raúl García (13); Kevin Vogt (12); Henrikh Mkhitaryan (12); Jonas Hofmann (12)
historical_2015_2024,team_name,0.0,168,Genoa (278); Fiorentina (269); Bologna (267); Juventus (264); Torino (259); AC Milan (253); AS Roma (248); Atalanta (246)
historical_2015_2024,model_position,0.0,4,M (7816); D (6788); F (4543); G (1646)
historical_2015_2024,api_position,0.0,4,M (7816); D (6788); F (4543); G (1646)
historical_2015_2024,api_player_name,0.0,6413,Danilo (23); Adama Traoré (16); Marcelo (14); Felipe (14); Raúl García (13); Kevin Vogt (12); Henrikh Mkhitaryan (12); Jonas Hofmann (12)
historical_2015_2024,api_team_name,0.0,168,Genoa (278); Fiorentina (269); Bologna (267); Juventus (264); Torino (259); AC Milan (253); AS Roma (248); Atalanta (246)
historical_2015_2024,understat_league,0.0,5,ITA-Serie A (5234); GER-Bundesliga (4044); ENG-Premier League (3933); FRA-Ligue 1 (3831); ESP-La Liga (3751)
historical_2015_2024,understat_team,0.0,160,Fiorentina (284); Genoa (280); Bologna (280); Atalanta (274); AC Milan (273); Juventus (261); Cagliari (249); Inter (246)
historical_2015_2024,understat_player,0.0,6310,Danilo (23); Adama Traoré (16); Felipe (14); Marcelo (14); Henrikh Mkhitaryan (12); Kevin Vogt (12); Simone Verdi (12); Rafael (12)
historical_2015_2024,understat_position,0.0,16,M S (4186); D S (4017); F M S (3071); F S (1888); D M S (1836); S (1579); GK (1363); D (1336)
historical_2015_2024,market_value_date,0.0,324,2016-07-15 (768); 2022-06-07 (505); 2023-06-15 (499); 2020-08-25 (498); 2024-06-05 (490); 2023-06-20 (487); 2025-06-17 (480); 2019-06-06 (475)
historical_2015_2024,transfermarkt_team_name,0.0,662,Juventus FC (250); ACF Fiorentina (247); Genoa CFC (246); Bologna FC 1909 (246); AC Milan (245); Torino FC (237); Inter Milan (236); AS Roma (234)
historical_2015_2024,transfermarkt_match_level,0.0,2,player_match (12323); team_match (8470)
historical_2015_2024,last_market_value_date,0.0,462,2015-07-01 (1484); 2016-07-15 (696); 2017-06-28 (428); 2016-07-13 (412); 2020-08-25 (410); 2023-06-20 (384); 2024-05-27 (383); 2015-06-06 (382)
historical_2015_2024,last_transfermarkt_team_name,0.0,910,Juventus FC (247); AC Milan (231); Chelsea FC (226); Borussia Dortmund (225); Manchester United (224); Torino FC (222); Bayern Munich (216); SSC Napoli (216)
historical_2015_2024,last_transfermarkt_match_level,0.0,2,player_match (14016); team_match (6777)
historical_2015_2024,understat_match_level,0.0,3,full (17346); player_league (3444); player_only (3)
prediction_2025,player_name,0.0,2054,Idrissa Gueye (3); Phillip Tietz (2); Donyell Malen (2); Yunus Musah (2); Wesley (2); Alejo Sarco (2); Jeanuël Belocian (2); Cole Campbell (2)
prediction_2025,team_name,0.0,96,Nottingham Forest (29); Girona (28); Marseille (28); Hellas Verona (27); Torino (27); Strasbourg (27); Lazio (26); Fiorentina (26)
prediction_2025,model_position,0.0,4,M (776); D (720); F (538); G (150)
prediction_2025,api_position,0.0,4,M (776); D (720); F (538); G (150)
prediction_2025,api_player_name,0.0,2054,Idrissa Gueye (3); Phillip Tietz (2); Donyell Malen (2); Yunus Musah (2); Wesley (2); Alejo Sarco (2); Jeanuël Belocian (2); Cole Campbell (2)
prediction_2025,api_team_name,0.0,96,Nottingham Forest (29); Girona (28); Marseille (28); Hellas Verona (27); Torino (27); Strasbourg (27); Lazio (26); Fiorentina (26)
prediction_2025,understat_league,0.0,5,ITA-Serie A (482); ENG-Premier League (462); ESP-La Liga (437); GER-Bundesliga (414); FRA-Ligue 1 (389)
prediction_2025,understat_team,0.0,96,Bologna (29); Napoli (28); Girona (28); Nottingham Forest (28); Chelsea (27); Aston Villa (27); Crystal Palace (27); Marseille (27)
prediction_2025,understat_player,0.0,2053,Idrissa Gueye (3); Niclas Füllkrug (2); Yunus Musah (2); Phillip Tietz (2); Wesley (2); Donyell Malen (2); Alejo Sarco (2); Jeanuël Belocian (2)
prediction_2025,understat_position,0.0,16,D S (490); M S (459); F M S (303); F S (208); D M S (185); S (153); GK (129); D (115)
prediction_2025,transfermarkt_team_name,0.0,192,Olympique Marseille (30); Bologna FC 1909 (27); Chelsea FC (27); Borussia Dortmund (27); Nottingham Forest (27); SSC Napoli (26); Atalanta BC (26); Hellas Verona (26)
prediction_2025,transfermarkt_match_level,0.0,2,ongoing_player_match (1226); ongoing_team_match (958)
prediction_2025,last_market_value_date,0.0,37,2025-05-30 (400); 2025-06-17 (376); 2025-06-05 (323); 2025-06-09 (311); 2025-06-03 (288); 2025-06-02 (95); 2025-05-27 (71); 2025-06-24 (59)
prediction_2025,last_transfermarkt_team_name,0.0,334,Chelsea FC (30); Olympique Marseille (28); Manchester City (26); Udinese Calcio (24); Inter Milan (24); Genoa CFC (24); Borussia Dortmund (24); Bayer 04 Leverkusen (24)
prediction_2025,last_transfermarkt_match_level,0.0,2,player_match (1517); team_match (667)
prediction_2025,understat_match_level,0.0,2,full (1791); player_league (393)
