dataset,column,count,mean,std,min,5%,25%,50%,75%,95%,max,skew
historical_2015_2024,player_season_uid,20793.0,42363.98105131535,72196.71448401904,0.0,258.0,1914.0,21507.0,39121.0,195993.0,474789.0,3.0084841608383597
historical_2015_2024,season,20793.0,2019.542394074929,3.01617162106819,2015.0,2015.0,2017.0,2020.0,2022.0,2024.0,2024.0,-0.03481919147754394
historical_2015_2024,league_id,20793.0,93.02553744048478,40.33247946207176,39.0,39.0,61.0,78.0,135.0,140.0,140.0,0.011865623133254928
historical_2015_2024,api_player_id,20793.0,42363.98105131535,72196.71448401904,0.0,258.0,1914.0,21507.0,39121.0,195993.0,474789.0,3.0084841608383597
historical_2015_2024,api_team_id,20793.0,308.7067763189535,254.85348841763724,33.0,40.0,84.0,172.0,505.0,724.0,1579.0,1.0232010436091905
historical_2015_2024,target_market_value_eur,20793.0,10048632.953397779,15424294.408467175,25000.0,400000.0,1500000.0,4000000.0,12000000.0,40000000.0,200000000.0,3.7126712156239385
historical_2015_2024,target_market_value_log,20793.0,15.264899026618162,1.380148838057876,10.12667110305036,12.899222326086994,14.220976332738882,15.201805169084134,16.300417291085605,17.50439003707821,19.11382792951231,-0.10392036554460479
historical_2015_2024,last_market_value_eur,20793.0,9409924.974751119,14265453.456473883,25000.0,300000.0,1500000.0,4000000.0,11000000.0,38000000.0,180000000.0,3.573397116531439
historical_2015_2024,last_market_value_log,20793.0,15.17604711427798,1.437742272774794,10.12667110305036,12.611541086966117,14.220976332738882,15.201805169084134,16.213405921671733,17.453096744006448,19.00846741441004,-0.280477118376332
historical_2015_2024,has_last_market_value,20793.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
historical_2015_2024,api_league_id,20793.0,93.02553744048478,40.33247946207176,39.0,39.0,61.0,78.0,135.0,140.0,140.0,0.011865623133254928
