dataset,column,null_pct,n_unique,top_values
historical_2015_2024,player_name,0.0,6412,Danilo (23); Adama Traoré (14); Marcelo (13); Felipe (13); Rafael (12); Marquinhos (12); Jonas Hofmann (11); Raúl García (11)
historical_2015_2024,team_name,0.0,168,Bologna (264); Fiorentina (258); Juventus (257); AC Milan (256); Genoa (256); AS Roma (251); Atalanta (248); Inter (238)
historical_2015_2024,model_position,0.0,4,M (7408); D (6472); F (4215); G (1623)
historical_2015_2024,api_position,0.0,4,M (7408); D (6472); F (4215); G (1623)
historical_2015_2024,api_player_name,0.0,6412,Danilo (23); Adama Traoré (14); Marcelo (13); Felipe (13); Rafael (12); Marquinhos (12); Jonas Hofmann (11); Raúl García (11)
historical_2015_2024,api_team_name,0.0,168,Bologna (264); Fiorentina (258); Juventus (257); AC Milan (256); Genoa (256); AS Roma (251); Atalanta (248); Inter (238)
historical_2015_2024,api_all_team_names_in_season,93.88,967,nan (18511); Sampdoria|Verona (7); Fiorentina|Verona (6); Sampdoria|Torino (5); AC Milan|Genoa (5); Atalanta|Bologna (4); Fiorentina|Napoli (4); Empoli|Fiorentina (4)
historical_2015_2024,understat_league,0.0,5,ITA-Serie A (4886); GER-Bundesliga (3866); ENG-Premier League (3726); FRA-Ligue 1 (3635); ESP-La Liga (3605)
historical_2015_2024,understat_team,0.0,160,Bologna (263); Genoa (255); AC Milan (248); Juventus (243); Fiorentina (242); Atalanta (240); Roma (230); Torino (229)
historical_2015_2024,understat_player,0.0,6310,Danilo (23); Adama Traoré (14); Felipe (13); Marcelo (13); Marquinhos (12); Rafael (12); Jonas Hofmann (11); Pedro (11)
historical_2015_2024,understat_position,0.0,16,M S (3966); D S (3837); F M S (2889); D M S (1769); F S (1741); S (1441); GK (1340); D (1276)
historical_2015_2024,market_value_date,0.0,324,2016-07-15 (717); 2022-06-07 (470); 2023-06-15 (460); 2024-06-05 (459); 2020-08-25 (457); 2023-06-20 (447); 2017-06-08 (445); 2017-06-01 (444)
historical_2015_2024,transfermarkt_team_name,0.0,661,Juventus FC (234); Bologna FC 1909 (231); AC Milan (228); Genoa CFC (223); Inter Milan (222); Torino FC (221); AS Roma (219); SS Lazio (219)
historical_2015_2024,transfermarkt_match_level,0.0,2,player_match (11384); team_match (8334)
historical_2015_2024,last_market_value_date,0.0,462,2015-07-01 (1404); 2016-07-15 (651); 2017-06-28 (404); 2016-07-13 (393); 2020-08-25 (374); 2023-06-20 (364); 2015-06-06 (359); 2024-05-27 (358)
historical_2015_2024,last_transfermarkt_team_name,0.0,909,Juventus FC (228); AC Milan (216); Chelsea FC (213); Manchester United (209); Borussia Dortmund (209); Bayern Munich (206); Inter Milan (206); SSC Napoli (201)
historical_2015_2024,last_transfermarkt_match_level,0.0,2,player_match (13212); team_match (6506)
historical_2015_2024,understat_match_level,0.0,2,player_league (19715); player_only (3)
prediction_2025,player_name,0.0,2053,David López (2); Idrissa Gueye (2); Vitinha (2); Wesley (2); Fikayo Tomori (1); Davide Bartesaghi (1); Kilian Fischer (1); Mattias Svanberg (1)
prediction_2025,team_name,0.0,96,Hellas Verona (27); Nottingham Forest (27); Napoli (26); Bologna (26); Tottenham (26); Girona (26); Pisa (25); Lazio (25)
prediction_2025,model_position,0.0,4,M (729); D (690); F (488); G (150)
prediction_2025,api_position,0.0,4,M (729); D (690); F (488); G (150)
prediction_2025,api_player_name,0.0,2053,David López (2); Idrissa Gueye (2); Vitinha (2); Wesley (2); Fikayo Tomori (1); Davide Bartesaghi (1); Kilian Fischer (1); Mattias Svanberg (1)
prediction_2025,api_team_name,0.0,96,Hellas Verona (27); Nottingham Forest (27); Napoli (26); Bologna (26); Tottenham (26); Girona (26); Pisa (25); Lazio (25)
prediction_2025,api_all_team_names_in_season,92.56,146,nan (1904); AS Roma|Genoa (2); AS Roma|Aston Villa (2); Bologna|Juventus (2); Atalanta|Atletico Madrid (2); Bologna|Fiorentina (2); Sassuolo|Marseille (2); Nantes|Strasbourg (2)
prediction_2025,understat_league,0.0,5,ITA-Serie A (452); ENG-Premier League (434); ESP-La Liga (415); GER-Bundesliga (397); FRA-Ligue 1 (359)
prediction_2025,understat_team,0.0,96,Napoli (26); Nottingham Forest (26); Torino (25); Lazio (25); Pisa (25); Sevilla (25); Tottenham (25); Udinese (25)
prediction_2025,understat_player,0.0,2053,David López (2); Idrissa Gueye (2); Vitinha (2); Wesley (2); Fikayo Tomori (1); Davide Bartesaghi (1); Kilian Fischer (1); Mattias Svanberg (1)
prediction_2025,understat_position,0.0,16,D S (472); M S (423); F M S (291); F S (191); D M S (182); S (132); GK (129); D (109)
prediction_2025,transfermarkt_team_name,0.0,191,Nottingham Forest (25); SSC Napoli (24); Udinese Calcio (24); Tottenham Hotspur (24); Borussia Dortmund (24); Chelsea FC (24); Newcastle United (24); TSG 1899 Hoffenheim (24)
prediction_2025,transfermarkt_match_level,0.0,2,ongoing_player_match (1121); ongoing_team_match (936)
prediction_2025,last_market_value_date,0.0,37,2025-05-30 (375); 2025-06-17 (349); 2025-06-05 (309); 2025-06-09 (297); 2025-06-03 (258); 2025-06-02 (93); 2025-05-27 (68); 2025-06-24 (55)
prediction_2025,last_transfermarkt_team_name,0.0,333,Chelsea FC (27); Manchester City (24); Inter Milan (23); RB Leipzig (22); Udinese Calcio (22); Borussia Dortmund (22); Real Madrid (22); Olympique Marseille (22)
prediction_2025,last_transfermarkt_match_level,0.0,2,player_match (1413); team_match (644)
prediction_2025,understat_match_level,0.0,1,player_league (2057)
