dataset,column,dtype,null_pct,n_unique,source,meaning,example_values
historical_2015_2024,player_season_uid,int64,0.0,6387,Engineered key/label,Stable unique identifier for player-season-team row,1632 (10); 1622 (10); 2286 (10)
historical_2015_2024,player_name,object,0.0,6439,Merged identifier/context,Merged or engineered feature,Danilo (23); Adama Traoré (14); Marcelo (13)
historical_2015_2024,season,int64,0.0,10,Merged identifier/context,Merged or engineered feature,2022 (2330); 2021 (2320); 2023 (2271)
historical_2015_2024,team_name,object,0.0,168,Merged identifier/context,Merged or engineered feature,Bologna (264); AC Milan (259); Juventus (259)
historical_2015_2024,league_id,int64,0.0,5,Merged identifier/context,Merged or engineered feature,135 (4898); 78 (3873); 39 (3747)
historical_2015_2024,api_player_id,int64,0.0,6387,API-Football,API-Football player-season stat/attribute,1632 (10); 1622 (10); 2286 (10)
historical_2015_2024,api_team_id,int64,0.0,160,API-Football,API-Football player-season stat/attribute,500 (255); 495 (254); 496 (248)
historical_2015_2024,model_position,object,0.0,4,Engineered key/label,"Coarse position group used for model segmentation (G, D, M, F)",M (7434); D (6497); F (4248)
historical_2015_2024,api_position,object,0.0,4,API-Football,API-Football player-season stat/attribute,M (7434); D (6497); F (4248)
historical_2015_2024,target_market_value_eur,float64,0.0,134,Transfermarkt target layer,Current season market value target in EUR,2000000.0 (1045); 3000000.0 (981); 1500000.0 (971)
historical_2015_2024,target_market_value_log,float64,0.0,134,Transfermarkt target layer,Log-transformed target market value: log1p(target_market_value_eur),14.508658238524095 (1045); 14.914123179965662 (981); 14.220976332738882 (971)
historical_2015_2024,last_market_value_eur,float64,0.0,142,Transfermarkt target layer,Previous market value from source data in EUR,2000000.0 (1050); 5000000.0 (950); 3000000.0 (947)
historical_2015_2024,last_market_value_log,float64,0.0,142,Transfermarkt target layer,Log-transformed previous market value: log1p(last_market_value_eur),14.508658238524095 (1050); 15.424948670398354 (950); 14.914123179965662 (947)
historical_2015_2024,has_last_market_value,int64,0.0,1,Engineered/Merged,Flag (1/0) indicating previous market value availability,1 (19808)
historical_2015_2024,api_player_name,object,0.0,6439,API-Football,API-Football player-season stat/attribute,Danilo (23); Adama Traoré (14); Marcelo (13)
historical_2015_2024,api_team_name,object,0.0,168,API-Football,API-Football player-season stat/attribute,Bologna (264); AC Milan (259); Juventus (259)
historical_2015_2024,api_league_id,int64,0.0,5,API-Football,API-Football player-season stat/attribute,135 (4898); 78 (3873); 39 (3747)
historical_2015_2024,api_season,int64,0.0,10,API-Football,API-Football player-season stat/attribute,2022 (2330); 2021 (2320); 2023 (2271)
historical_2015_2024,api_squad_rows,int64,0.0,40,API-Football,API-Football player-season stat/attribute,33 (1080); 34 (1041); 31 (937)
historical_2015_2024,api_appearances,int64,0.0,39,API-Football,API-Football player-season stat/attribute,1 (872); 31 (796); 33 (787)
historical_2015_2024,api_starts,int64,0.0,39,API-Football,API-Football player-season stat/attribute,0 (1048); 1 (938); 2 (663)
historical_2015_2024,api_sub_appearances,int64,0.0,31,API-Football,API-Football player-season stat/attribute,0 (4602); 1 (3162); 2 (2245)
historical_2015_2024,api_minutes,int64,0.0,3308,API-Football,API-Football player-season stat/attribute,90 (208); 3420 (110); 1 (91)
historical_2015_2024,api_avg_rating,float64,0.0,1544,API-Football,API-Football player-season stat/attribute,6.3 (177); 6.847 (170); 6.7 (155)
historical_2015_2024,api_offsides,int64,0.0,45,API-Football,API-Football player-season stat/attribute,0 (12985); 1 (2213); 2 (1243)
historical_2015_2024,api_shots_total,int64,0.0,157,API-Football,API-Football player-season stat/attribute,0 (3126); 1 (1080); 2 (907)
historical_2015_2024,api_shots_on,int64,0.0,84,API-Football,API-Football player-season stat/attribute,0 (5020); 1 (2278); 2 (1778)
historical_2015_2024,api_goals_total,int64,0.0,41,API-Football,API-Football player-season stat/attribute,0 (9389); 1 (3581); 2 (1977)
historical_2015_2024,api_goals_conceded,int64,0.0,80,API-Football,API-Football player-season stat/attribute,0 (18267); 2 (83); 1 (79)
historical_2015_2024,api_goals_assists,int64,0.0,21,API-Football,API-Football player-season stat/attribute,0 (9597); 1 (3930); 2 (2304)
historical_2015_2024,api_goals_saves,int64,0.0,154,API-Football,API-Football player-season stat/attribute,0 (18226); 2 (58); 1 (54)
historical_2015_2024,api_passes_total,int64,0.0,2135,API-Football,API-Football player-season stat/attribute,1 (101); 2 (91); 3 (91)
historical_2015_2024,api_passes_key,int64,0.0,118,API-Football,API-Football player-season stat/attribute,0 (2867); 1 (1499); 2 (1146)
historical_2015_2024,api_tackles_total,int64,0.0,130,API-Football,API-Football player-season stat/attribute,0 (5517); 1 (926); 2 (648)
historical_2015_2024,api_tackles_blocks,int64,0.0,56,API-Football,API-Football player-season stat/attribute,0 (9294); 1 (2271); 2 (1598)
historical_2015_2024,api_tackles_interceptions,int64,0.0,127,API-Football,API-Football player-season stat/attribute,0 (2701); 1 (1397); 2 (1029)
historical_2015_2024,api_duels_total,int64,0.0,604,API-Football,API-Football player-season stat/attribute,0 (794); 1 (328); 2 (256)
historical_2015_2024,api_duels_won,int64,0.0,328,API-Football,API-Football player-season stat/attribute,0 (1037); 1 (451); 2 (349)
historical_2015_2024,api_dribbles_attempts,int64,0.0,209,API-Football,API-Football player-season stat/attribute,0 (2546); 1 (1172); 2 (833)
historical_2015_2024,api_dribbles_success,int64,0.0,134,API-Football,API-Football player-season stat/attribute,0 (3199); 1 (1550); 2 (1221)
historical_2015_2024,api_dribbles_past,int64,0.0,88,API-Football,API-Football player-season stat/attribute,0 (2278); 1 (1357); 2 (998)
historical_2015_2024,api_fouls_drawn,int64,0.0,122,API-Football,API-Football player-season stat/attribute,0 (1748); 1 (1103); 2 (892)
