dataset,column,count,mean,std,min,5%,25%,50%,75%,95%,max,skew
historical_2015_2024,player_season_uid,19718.0,42320.93031747642,72309.8529794378,1.0,258.0,1908.25,21495.0,39137.5,196187.0,474789.0,3.0127654796118604
historical_2015_2024,season,19718.0,2019.5330155188153,3.0143778713480955,2015.0,2015.0,2017.0,2020.0,2022.0,2024.0,2024.0,-0.029589049322312252
historical_2015_2024,league_id,19718.0,92.95805862663556,40.312316205847274,39.0,39.0,61.0,78.0,135.0,140.0,140.0,0.01663531810005209
historical_2015_2024,api_player_id,19718.0,42320.93031747642,72309.8529794378,1.0,258.0,1908.25,21495.0,39137.5,196187.0,474789.0,3.0127654796118604
historical_2015_2024,api_team_id,19718.0,309.1001622882645,255.9948207220623,33.0,40.0,84.0,172.0,505.0,724.0,1579.0,1.0378292995584601
historical_2015_2024,target_market_value_eur,19718.0,10077473.628157014,15596869.908804215,25000.0,400000.0,1500000.0,4000000.0,12000000.0,40000000.0,200000000.0,3.7123854619708037
historical_2015_2024,target_market_value_log,19718.0,15.252361410595512,1.3926944401913766,10.12667110305036,12.899222326086994,14.220976332738882,15.201805169084134,16.300417291085605,17.50439003707821,19.11382792951231,-0.09491044847897938
historical_2015_2024,last_market_value_eur,19718.0,9377953.899989856,14412627.148456972,25000.0,300000.0,1500000.0,4000000.0,10000000.0,38000000.0,180000000.0,3.586841519316219
historical_2015_2024,last_market_value_log,19718.0,15.153870325577088,1.449930742354508,10.12667110305036,12.611541086966117,14.220976332738882,15.201805169084134,16.118095750958314,17.453096744006448,19.00846741441004,-0.2584213630566766
historical_2015_2024,has_last_market_value,19718.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
historical_2015_2024,api_league_id,19718.0,92.95805862663556,40.312316205847274,39.0,39.0,61.0,78.0,135.0,140.0,140.0,0.01663531810005209
historical_2015_2024,api_season,19718.0,2019.5330155188153,3.0143778713480955,2015.0,2015.0,2017.0,2020.0,2022.0,2024.0,2024.0,-0.029589049322312252
historical_2015_2024,api_squad_rows,19718.0,24.20341819657166,10.639850816627495,1.0,3.0,16.0,27.0,33.0,37.0,40.0,-0.6484822755350358
historical_2015_2024,api_appearances,19718.0,21.05030936200426,10.927936436097006,1.0,2.0,12.0,23.0,30.0,36.0,39.0,-0.3504184186830088
historical_2015_2024,api_starts,19718.0,17.029921898772695,11.161137796401695,0.0,0.0,7.0,17.0,27.0,35.0,38.0,0.06010974352245581
historical_2015_2024,api_sub_appearances,19718.0,4.0203874632315655,4.571133132419847,0.0,0.0,1.0,2.0,6.0,14.0,30.0,1.6278862762450397
historical_2015_2024,api_minutes,19718.0,1441.4947256314028,965.0059156563159,1.0,46.0,578.0,1408.0,2240.0,3037.0,3438.0,0.1673694972382615
historical_2015_2024,api_avg_rating,19718.0,6.862155948879195,0.2771492777207929,3.0,6.4357,6.7,6.859,7.018,7.303149999999998,8.844,-0.23470065614818938
historical_2015_2024,api_offsides,19718.0,1.5975251039659195,3.9154732318920806,0.0,0.0,0.0,0.0,1.0,9.0,57.0,4.293176670986149
historical_2015_2024,api_shots_total,19718.0,16.1514859519221,20.167134626353356,0.0,0.0,2.0,9.0,22.0,57.0,227.0,2.422335964880776
